0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 200 1373
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/js/fisheye-iutil.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/js/jquery.jqDock.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:48 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:59 +0800] "GET /monkeyLife/ HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:59 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:59 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:09:59 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:10:31 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:10:36 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:10:36 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:10:36 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:10:36 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/background_001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/Life.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/English.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/Feeling.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/Japanese.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/Memory.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:55 +0800] "GET /monkeyLife/image/dock/Contacts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:59 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2585
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:59 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:59 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:11:59 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:12:22 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:12:22 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:12:22 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:12:22 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/ HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/js/fisheye-iutil.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/js/jquery.jqDock.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/jsp/menubar.jsp HTTP/1.1" 200 1844
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/backgroundImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/jsp/topbar.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [11/Jul/2017:17:16:29 +0800] "GET /monkeyLife/image/dock/monkey.jpg HTTP/1.1" 304 -
